	SAL01	SAL02	SAL03	SAL04	SAL07	MN01	MN02	MN03	MN04	MN05	ABS01	ABS02	ABS03	ABS04	ABS05	ABS06	ABS07
1700007G11Rik|1700007G11Rik	135	26	42	11	0	0	44	0	102	0	248	41	27	26	0	117	0
Gm34475|Gm34475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm42122|Gm42122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir703|Mir703	405	221	301	253	404	362	293	531	269	490	430	687	401	458	460	562	518
Gm35911|Gm35911	0	13	0	4	4	0	0	6	0	19	17	6	3	5	0	3	0
Hnrnpd|Hnrnpd	1032	796	901	645	1472	632	447	1068	922	538	1056	1154	1112	1094	1130	963	936
Gm42127|Gm42127	61	54	80	87	142	171	59	152	86	33	388	144	205	228	130	16	194
A930011G23Rik|A930011G23Rik	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Gm35314|Gm35314	37	67	78	41	0	51	20	58	30	0	21	102	77	39	0	22	99
Gm42125|Gm42125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm35253|Gm35253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm35172|Gm35172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16227|Gm16227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102638465|LOC102638465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38691|Gm38691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16226|Gm16226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rasgef1b|Rasgef1b	30772	14781	18581	13860	30051	23915	17763	31307	23518	34508	27361	41112	22918	24638	26139	26185	30301
Hnrnpdl|Hnrnpdl	3279	2014	2808	1893	3782	2400	1785	3361	2037	2900	2642	3333	3429	3067	2621	3015	4010
Enoph1|Enoph1	4342	2990	3591	2159	3630	4028	2829	4469	3210	4689	3404	5935	4070	4405	4580	5271	4523
5430416N02Rik|5430416N02Rik	90	41	80	33	46	54	67	53	90	57	86	23	77	51	53	57	164
Lin54|Lin54	1202	963	1094	812	1302	967	1248	1512	948	723	851	1314	995	1502	2213	1274	1425
Sec31a|Sec31a	4416	3379	3891	3837	4690	4695	2645	5117	2071	5252	3531	3230	3223	4051	3480	5956	6552
Plac8|Plac8	781	500	410	433	244	293	175	365	99	436	689	390	240	544	145	307	460
Coq2|Coq2	489	778	571	487	53	696	376	418	408	200	289	440	228	399	1098	723	459
Hpse|Hpse	194	198	149	59	117	110	0	0	79	328	210	183	30	59	121	152	62
Cops4|Cops4	15760	10684	13072	9799	14656	13506	9728	18522	12211	14796	11601	18480	13446	14961	14471	15247	14408
Gm36740|Gm36740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm36793|Gm36793	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0
Helq|Helq	322	190	314	135	424	431	141	397	383	326	183	413	173	220	178	223	139
Fam175a|Fam175a	758	530	569	527	712	641	417	1087	716	1335	592	799	832	1104	699	986	993
Mrps18c|Mrps18c	2149	1326	1685	1315	2126	1595	1457	2079	1423	1760	1642	2135	1811	1571	1514	2053	1702
Gm36851|Gm36851	0	0	6	32	0	35	0	0	87	0	23	0	0	45	131	36	44
Agpat9|Agpat9	0	66	45	19	0	0	0	37	0	214	167	40	53	0	0	91	118
LOC108169057|LOC108169057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cds1|Cds1	719	292	602	372	483	454	552	708	558	709	584	913	643	556	623	634	355
LOC108169124|LOC108169124	12	0	6	4	66	0	0	27	8	0	0	21	18	12	31	35	28
Wdfy3|Wdfy3	5177	3717	4637	4350	4458	5394	3770	6671	4861	5125	4065	4210	4340	3886	6533	5076	6784
Gm42135|Gm42135	11	18	26	10	12	0	0	0	0	15	12	19	13	34	0	9	18
Gm29707|Gm29707	8	0	12	10	112	14	21	26	28	0	18	8	29	27	0	12	0
Slc10a6|Slc10a6	91	79	45	84	339	98	32	99	0	277	63	0	27	24	0	77	78
Mapk10|Mapk10	40	48	166	66	0	74	175	66	48	30	31	97	146	122	105	254	133
Hsd17b11|Hsd17b11	187	196	208	167	309	274	184	329	134	372	150	265	128	208	134	242	250
Klhl8|Klhl8	323	173	453	207	235	724	270	798	89	192	510	225	401	315	1002	388	301
Gm42139|Gm42139	23	82	30	0	50	11	23	79	0	126	96	54	0	137	0	0	0
Arhgap24|Arhgap24	880	1073	744	707	1183	845	524	951	701	660	1295	1121	1108	811	880	1668	1058
Gm30396|Gm30396	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	2	0
Aff1|Aff1	711	238	463	372	529	486	743	574	365	1080	342	666	378	695	653	733	383
Mir5619|Mir5619	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
Nudt9|Nudt9	3059	2483	3542	2108	3286	2861	1902	2583	1762	2396	2250	2194	2088	3046	4015	3454	2237
Dmp1|Dmp1	36	0	0	0	105	0	72	84	0	95	117	0	100	54	0	59	82
BC005561|BC005561	256	200	229	200	207	232	303	269	135	99	292	417	211	252	56	113	211
Spp1|Spp1	1184	787	321	306	654	1452	664	3083	669	70	1754	2900	313	231	149	1360	800
Pkd2|Pkd2	301	115	152	144	478	298	178	564	276	384	294	276	227	204	502	343	176
D930016D06Rik|D930016D06Rik	122	57	162	89	388	133	145	119	148	143	203	108	75	144	57	207	181
Gm20385|Gm20385	0	0	0	8	23	11	0	14	15	20	36	19	39	12	22	19	27
Zfp33b|Zfp33b	663	553	804	469	658	650	454	757	271	602	849	1022	883	746	536	787	714
Sparcl1|Sparcl1	5129	2854	5987	4698	9969	7363	3940	8271	9209	11545	10298	8907	5122	4327	10743	8760	11456
Zfp951|Zfp951	1079	957	860	421	1105	748	568	2010	639	967	1104	1553	982	947	689	1019	915
Gbp8|Gbp8	164	131	115	38	86	141	0	231	81	104	78	63	40	32	261	34	22
Abcg3|Abcg3	1122	602	780	475	819	588	495	1758	751	1244	555	1579	876	1317	945	1081	1260
Gm26519|Gm26519	0	0	34	0	0	8	0	0	0	0	20	0	0	32	0	0	0
Gbp6|Gbp6	35	34	198	50	0	0	141	98	239	0	250	162	68	35	109	80	182
Gbp4|Gbp4	239	138	234	175	135	300	74	146	465	525	707	583	240	146	521	256	431
Lrrc8b|Lrrc8b	197	189	181	228	177	315	231	474	79	285	530	296	320	422	608	315	326
Gbp9|Gbp9	3087	2981	3670	2462	2529	4091	2614	4410	2784	5577	5367	4696	3328	3377	2972	3482	4368
Lrrc8c|Lrrc8c	714	275	387	604	1780	505	739	494	928	496	1079	969	422	393	1218	492	624
D830014E11Rik|D830014E11Rik	0	0	0	0	20	0	0	8	14	0	7	0	0	0	0	0	0
Zfp326|Zfp326	760	861	828	635	1098	1173	836	1285	636	1521	563	1506	1099	1114	741	760	692
Lrrc8d|Lrrc8d	1186	891	1068	759	1360	602	750	954	993	1225	1081	1188	1034	908	1120	1234	1174
Gm42166|Gm42166	514	684	487	465	521	471	473	323	301	511	297	422	316	523	419	618	382
Rps15a-ps5|Rps15a-ps5	3	6	4	8	5	2	6	7	7	12	14	13	4	7	4	12	9
Gm8350|Gm8350	36	0	5	6	24	0	0	8	0	0	4	0	0	0	0	0	0
Cdc7|Cdc7	19	38	81	102	0	75	0	84	78	0	24	127	51	37	22	79	141
Tgfbr3|Tgfbr3	83	119	207	92	155	179	148	92	288	210	363	7	134	82	433	392	741
Zfp644|Zfp644	726	573	951	512	1368	772	705	1069	286	1152	984	1232	922	1253	1085	1407	1310
Brdt|Brdt	14	31	36	41	55	19	109	163	0	31	74	102	23	0	146	77	183
Gm17202|Gm17202	0	6	0	0	0	0	0	0	0	0	16	47	0	0	0	0	0
Ephx4|Ephx4	41	35	34	14	53	53	0	0	36	0	98	21	0	58	0	34	86
Lpcat2b|Lpcat2b	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
Gm33885|Gm33885	8	20	0	9	0	0	0	41	0	0	78	0	8	0	13	18	0
A830010M20Rik|A830010M20Rik	204	223	181	144	214	261	155	323	209	115	266	150	191	263	353	199	414
Btbd8|Btbd8	35	125	95	73	78	66	53	214	58	131	95	51	37	81	96	114	105
1700028K03Rik|1700028K03Rik	0	0	0	0	0	24	19	0	65	0	97	0	0	2	0	0	0
Glmn|Glmn	932	478	545	561	1109	420	551	818	815	1079	983	1483	686	1065	571	1262	747
Rpap2|Rpap2	1953	1327	1553	1282	2354	1665	1572	1531	2101	2385	1553	1816	1529	2072	1462	1900	1505
A930041C12Rik|A930041C12Rik	0	0	0	0	0	0	0	10	0	0	0	0	4	0	0	0	11
Evi5|Evi5	1718	1051	1781	1388	2088	2052	1628	2616	2162	1305	2274	1957	1881	1502	1489	2796	2468
Ube2d2b|Ube2d2b	0	6	3	13	24	47	0	7	0	13	0	0	3	0	0	0	0
Gm42149|Gm42149	0	0	8	0	0	0	0	7	0	0	0	12	0	0	0	0	0
Mtf2|Mtf2	3840	2295	2986	2540	4147	3879	2404	4343	3497	4666	3625	3866	3203	3472	3745	3429	4152
Rpl5|Rpl5	26588	18377	23969	19622	30893	21428	17510	28350	18417	26916	18784	38143	25562	26356	21286	30216	28422
Fam69a|Fam69a	1635	1652	2349	1606	2931	2590	1747	2586	1726	3410	1829	1999	2293	2358	2981	3095	2703
Gm42150|Gm42150	22	0	4	9	0	17	0	0	39	0	71	6	10	7	0	0	9
Ccdc18|Ccdc18	32	25	54	51	37	115	0	33	70	0	40	0	139	49	0	75	0
Tmed5|Tmed5	19755	14952	18012	13727	20868	16573	14373	22795	13748	22415	17237	24752	19734	20170	18961	21976	20829
Dr1|Dr1	4535	4459	4369	3570	4390	4965	3474	6372	4547	5172	5756	7140	5695	5190	4796	5636	5302
Gm10419|Gm10419	17	11	0	18	47	0	0	0	0	0	98	18	24	0	0	0	42
Pigg|Pigg	1672	1381	1653	1582	2376	1818	582	2941	2029	1682	2724	2704	1949	2175	1314	3319	2189
Pde6b|Pde6b	5	3	14	16	0	22	0	0	13	23	0	10	6	0	0	19	0
Gm34254|Gm34254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm34204|Gm34204	0	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm34319|Gm34319	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
Mfsd7a|Mfsd7a	114	123	83	131	12	53	137	357	96	658	31	251	248	170	0	137	0
Atp5k|Atp5k	2304	1383	1874	1428	2005	1883	1595	2144	1358	1621	1238	3084	1856	1744	1236	2168	2013
Pcgf3|Pcgf3	519	319	422	439	943	312	220	269	325	184	331	545	137	585	530	733	422
Cplx1|Cplx1	160	38	230	56	80	178	147	198	266	427	150	207	155	176	305	278	226
Fgfrl1|Fgfrl1	91	41	82	50	103	105	151	430	239	52	85	240	156	125	41	230	212
Gm8493|Gm8493	28	6	0	0	0	0	0	0	0	68	45	0	0	0	0	33	42
Gm10416|Gm10416	71	54	61	26	67	33	54	101	20	29	113	77	49	46	36	180	91
Gm35089|Gm35089	22	24	17	16	0	0	0	48	42	0	65	28	33	22	76	0	69
Crlf2|Crlf2	2663	1524	1933	1079	598	989	825	2238	418	2131	1966	1911	1718	1891	1639	2009	1404
Gak|Gak	3919	2714	4311	3529	4661	2928	2397	3983	1606	4448	2577	4827	4120	3663	4864	4436	4574
Tmem175|Tmem175	7536	4928	6594	4656	6561	4892	3858	7053	4828	7515	6641	7062	5749	7204	6007	7594	6395
Dgkq|Dgkq	426	362	452	250	421	82	265	401	26	168	31	380	402	387	0	505	678
Idua|Idua	4842	3457	4429	3884	4288	3880	3131	5189	4441	4851	4073	5889	5555	5617	5232	5848	5669
Slc26a1|Slc26a1	16	5	16	0	78	90	0	105	9	99	32	123	8	53	0	104	161
Gm42151|Gm42151	0	0	3	10	21	37	13	0	0	30	11	34	0	10	0	54	60
4930522L14Rik|4930522L14Rik	1393	941	1179	678	931	1318	1154	1890	1071	1887	1238	2153	1213	1312	838	1749	1213
Gm35315|Gm35315	4	0	15	7	0	10	0	0	4	13	10	7	65	10	9	22	17
Plcxd1|Plcxd1	56	12	6	81	86	67	14	0	13	0	0	60	55	29	0	0	8
Gtpbp6|Gtpbp6	289	152	350	219	593	303	271	85	171	399	46	212	217	286	509	398	306
LOC108169061|LOC108169061	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0
Gm26808|Gm26808	0	8	0	0	0	0	0	18	0	0	0	36	0	0	0	12	11
LOC105246961|LOC105246961	1016	538	838	528	1153	968	1021	1754	901	1268	1273	1233	775	1052	1064	954	1167
Gm15446|Gm15446	0	0	63	45	94	16	52	94	54	0	82	106	85	0	68	76	51
Zfp605|Zfp605	350	106	184	51	190	392	167	137	40	324	89	180	319	151	130	198	199
LOC102639044|LOC102639044	5	8	11	3	3	0	4	6	6	2	2	3	3	3	2	9	0
Zfp932|Zfp932	325	146	406	372	586	490	215	587	571	735	366	890	691	630	329	745	473
Chfr|Chfr	3166	2445	3176	2219	2337	2919	2510	4059	2095	2712	2160	3173	2959	2679	4627	3526	4021
Gm15787|Gm15787	5	0	14	32	33	13	30	49	29	24	17	0	22	35	37	102	17
Golga3|Golga3	1175	783	964	775	1215	1366	1340	2051	1215	2209	1010	1481	970	1825	624	1523	1757
LOC105246962|LOC105246962	5	0	0	0	5	4	0	0	0	0	0	0	0	7	0	0	0
Pxmp2|Pxmp2	60	43	98	50	167	117	81	107	78	101	156	80	106	40	99	287	304
Fbrsl1|Fbrsl1	1523	933	1856	1246	1172	1074	1084	1198	419	1289	957	947	1550	2223	1359	1806	1835
Ddx51|Ddx51	646	309	521	569	354	557	373	585	170	754	517	159	303	642	706	715	846
Noc4l|Noc4l	1419	919	1114	914	2119	1349	984	1820	1336	1531	863	1412	1175	1461	1473	1499	1762
Ankle2|Ankle2	8852	6128	8137	6050	8155	10079	6055	12184	7116	8075	7726	6538	8308	9989	9035	9005	6863
Pgam5|Pgam5	1679	1260	1461	1425	1660	1367	1680	2583	1281	3098	1541	2108	1672	2476	2864	2911	2336
Pus1|Pus1	1080	807	1231	842	778	960	688	1078	772	1037	669	1414	1063	898	1223	1364	1292
Gm15559|Gm15559	192	157	173	220	374	185	305	67	98	352	188	181	270	148	339	125	259
Gm26515|Gm26515	0	0	0	4	0	5	22	0	3	22	13	6	1	0	28	0	0
Ulk1|Ulk1	359	300	406	416	586	163	299	576	377	384	344	409	310	374	374	324	399
Ep400|Ep400	2311	1236	2166	1354	1406	1348	1185	2775	1317	2029	1499	2074	1913	1340	1112	1967	1801
Mir7026|Mir7026	0	0	0	1	0	2	2	2	0	4	3	3	2	0	0	0	0
Hscb|Hscb	823	632	756	629	1132	811	391	953	611	814	576	1310	930	1059	584	1004	1013
Chek2|Chek2	753	685	776	608	369	609	428	1332	776	787	579	456	531	396	331	1173	685
Ttc28|Ttc28	2074	1308	808	629	1192	1014	713	2594	1353	1630	937	1115	1016	1466	1574	797	1252
Gm35973|Gm35973	17	0	10	0	0	4	15	30	0	0	0	3	0	0	10	0	29
Mir701|Mir701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm35628|Gm35628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C130026L21Rik|C130026L21Rik	5	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0
E130006D01Rik|E130006D01Rik	7	0	0	12	0	26	0	0	0	0	36	0	0	0	0	11	0
Mn1|Mn1	322	254	262	380	440	871	522	403	503	219	691	352	481	274	677	1233	764
Pitpnb|Pitpnb	6412	4881	5981	5491	9438	7625	4485	8993	5094	9327	5747	8907	5973	6372	8080	7773	8855
Gm36027|Gm36027	2	0	13	0	142	0	0	0	5	0	0	0	5	0	0	12	0
Crybb1|Crybb1	41675	25098	31872	24669	37035	35919	23440	42634	23828	33425	26877	49309	35589	36393	37550	38566	45290
Cryba4|Cryba4	4225	2763	3499	2568	3987	3559	2386	4479	3141	3683	2845	4563	3168	3148	3368	3899	4338
Tpst2|Tpst2	29751	21964	27714	20371	24226	23948	19704	36792	19716	30837	19440	23484	19620	20299	22794	27448	23944
Asphd2|Asphd2	5	21	33	24	99	36	54	0	148	0	46	28	14	0	294	125	172
Adrbk2|Adrbk2	367	255	388	306	817	263	187	257	196	935	291	486	226	461	574	448	368
Sez6l|Sez6l	25	77	56	94	0	30	73	0	29	6	85	85	0	95	152	38	205
Gm6588|Gm6588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm42160|Gm42160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm30812|Gm30812	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	18
Srrd|Srrd	374	259	357	249	343	286	192	441	161	223	247	305	252	166	134	599	268
Gm20636|Gm20636	3	0	6	4	0	5	13	32	0	0	0	6	7	0	8	11	13
Gm42158|Gm42158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfip11|Tfip11	1569	886	1265	1271	1489	1206	994	1864	805	1185	1236	1997	1656	1109	2079	1666	1385
Hps4|Hps4	11875	8052	10629	8428	10212	9700	7994	14242	8147	11799	7394	10948	8148	10583	10913	9983	9263
Gm6583|Gm6583	238	240	251	154	263	267	187	267	245	313	176	208	161	75	279	221	204
Myo18b|Myo18b	114	120	44	121	203	125	257	261	39	31	179	0	111	164	0	158	145
1700095B10Rik|1700095B10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2900026A02Rik|2900026A02Rik	411	260	299	158	791	168	40	395	344	369	740	527	354	302	279	388	350
LOC105246973|LOC105246973	11	24	0	8	0	0	26	0	8	47	0	53	38	0	0	0	6
Gm42161|Gm42161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
Gm42002|Gm42002	127	114	91	72	22	195	160	255	68	223	145	67	81	61	0	95	162
Cmklr1|Cmklr1	1372	806	1177	1087	1324	1325	911	2085	994	1499	985	1470	1139	1187	1228	960	1320
Gm15736|Gm15736	96	79	54	72	181	95	113	109	67	253	17	18	48	58	6	75	64
Ficd|Ficd	1462	1162	1358	1164	1041	1035	862	1338	787	1462	1573	1476	1600	1394	812	1527	1475
Sart3|Sart3	2155	1723	2157	2258	1627	1733	1273	2997	1099	1559	1160	1654	1467	2228	2024	2400	1833
Iscu|Iscu	19377	14328	17909	13374	19464	19210	13893	23241	14407	22676	16073	19332	15540	17970	19058	21099	20044
Coro1c|Coro1c	5642	4315	5390	4340	5944	4816	3801	5695	3402	5489	4383	6884	5934	6715	7073	6789	7301
Gm42005|Gm42005	64	25	9	49	93	95	81	69	31	26	10	63	30	40	34	24	13
Usp30|Usp30	306	256	334	246	142	335	303	396	292	338	322	580	264	341	466	531	631
Svop|Svop	0	14	0	0	0	76	31	0	0	20	19	16	0	22	53	38	0
Gm16108|Gm16108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssh1|Ssh1	1064	524	879	544	748	1228	494	1734	629	1264	1056	855	723	836	270	1198	1211
Alkbh2|Alkbh2	478	468	707	464	733	533	336	675	520	427	650	900	445	627	590	701	702
Ung|Ung	93	41	88	37	261	0	90	114	93	0	51	142	44	58	0	60	219
Acacb|Acacb	16	0	0	10	0	0	0	33	33	0	52	65	0	40	172	104	0
Ube3b|Ube3b	1100	649	1417	1380	1544	921	619	260	367	612	847	866	1027	1507	918	1472	900
Mir7027|Mir7027	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Trpv4|Trpv4	413	147	138	250	1069	465	224	421	83	116	190	404	571	219	123	596	407
Fam222a|Fam222a	0	0	0	0	0	0	33	57	0	26	0	0	0	11	0	5	32
Gm34844|Gm34844	9	14	23	14	109	5	24	10	0	93	18	78	0	31	0	0	35
Mvk|Mvk	502	458	353	267	489	208	422	790	123	249	530	375	276	339	578	732	612
Mmab|Mmab	716	409	318	644	675	498	499	912	596	748	839	757	648	281	693	957	1360
Myo1h|Myo1h	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	4	0
Kctd10|Kctd10	5142	2696	4569	4076	5804	4836	2710	4640	4788	5793	5621	6756	4546	5223	6008	6594	8418
Gm34931|Gm34931	16	45	18	28	90	51	27	50	0	3	6	58	2	2	27	8	36
Tchp|Tchp	395	283	275	261	416	226	364	1033	285	363	669	353	374	379	651	293	448
Mir7028|Mir7028	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Gltp|Gltp	17804	12868	16097	12583	17115	17000	12267	18441	13127	21244	15749	16650	14647	17886	22759	22938	18724
4930515G01Rik|4930515G01Rik	67	87	45	25	39	30	55	45	36	0	3	49	56	24	0	22	0
Ankrd13a|Ankrd13a	2219	1407	2200	1180	2405	1691	1968	2844	1888	2441	1412	2538	1833	1843	1747	2149	2060
1500011B03Rik|1500011B03Rik	1060	766	727	760	777	699	598	1361	709	1092	1010	1450	793	1067	794	1966	1356
2610524H06Rik|2610524H06Rik	234	130	164	115	232	192	127	139	174	160	497	402	46	267	143	270	271
Gm13822|Gm13822	0	11	0	0	0	9	0	0	0	0	8	10	0	0	14	11	3
Oasl1|Oasl1	65	34	0	22	102	146	0	194	59	0	90	28	98	35	111	125	0
Oasl2|Oasl2	538	376	744	396	542	749	210	745	508	1045	1085	673	687	410	867	809	785
Hnf1a|Hnf1a	0	0	0	0	0	48	0	0	0	0	0	0	0	9	0	0	0
Hnf1aos1|Hnf1aos1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
2210016L21Rik|2210016L21Rik	1745	1346	1360	1356	1611	1983	1227	2376	1358	2581	1403	1991	1462	1782	2000	2008	2135
Git2|Git2	15280	11101	13216	10800	12922	15044	10827	19078	9642	18193	11085	11955	11877	12316	14951	14476	12179
Sppl3|Sppl3	1455	965	1399	711	519	1165	862	1429	889	1670	699	1608	1343	892	1356	1375	1187
Unc119b|Unc119b	1169	896	1492	971	814	595	714	1471	334	780	673	1653	1202	1556	552	1669	1776
Rpl37rt|Rpl37rt	491	311	400	189	377	326	253	445	224	391	208	531	288	295	227	351	307
Acads|Acads	9702	5775	7380	5438	8457	6961	4876	10425	5663	7606	5418	8854	7327	8622	8391	8785	8891
Gm35465|Gm35465	0	6	10	6	36	22	0	7	0	0	36	18	0	0	0	16	47
Cabp1|Cabp1	22	11	5	8	0	17	0	0	29	0	13	0	0	17	0	20	0
Gm35515|Gm35515	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0
Pop5|Pop5	1386	831	1321	958	1444	1410	1050	1485	1347	1370	1019	1864	1342	1166	1543	1909	1613
Mlec|Mlec	6884	5692	8139	6214	4755	6811	5240	6498	3651	7825	5272	6211	5435	7325	8505	8755	5365
Rnf10|Rnf10	2654	1923	2771	2425	2124	2510	1776	2166	1087	2856	2429	2126	2319	2919	1932	3183	3180
Gm13830|Gm13830	4	0	0	0	0	4	0	0	21	0	0	0	0	0	0	0	0
Coq5|Coq5	2085	1324	1851	1605	2064	2042	1684	3038	2244	2443	1877	2297	1927	2254	3050	2625	3175
Dynll1|Dynll1	6829	4376	6092	4655	6558	8861	5787	10902	8063	9170	6550	12510	8258	6688	7106	9744	8557
Srsf9|Srsf9	2752	2276	2758	1986	2737	2739	1985	2872	1968	3180	2099	2658	2459	2521	3021	3087	2857
Gatc|Gatc	5747	4171	4940	4063	5393	4465	3968	7035	5544	6631	3775	7018	4978	4793	4424	6549	5881
Triap1|Triap1	2583	1953	2606	2021	2371	2491	1851	3174	1787	3038	1735	3445	2557	2918	2268	3353	2855
Gm42004|Gm42004	8	9	6	28	18	0	0	17	22	15	24	17	11	13	10	0	0
Selplg|Selplg	379641	301908	357628	281840	359848	390717	280581	487066	311428	480712	320564	404377	344408	345957	377538	390615	368434
Tmem119|Tmem119	316490	259251	325452	265192	278197	325374	213892	407296	223976	361257	245983	339509	290861	306952	306216	354056	333005
Pla2g1b|Pla2g1b	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
4930401G09Rik|4930401G09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102639568|LOC102639568	21	5	2	15	28	0	0	0	0	0	0	24	0	0	69	20	33
Msi1|Msi1	19	0	10	0	40	23	32	0	19	0	37	0	20	17	23	70	9
Sirt4|Sirt4	636	387	661	483	609	691	372	905	706	556	478	804	621	521	976	1000	931
Gm42007|Gm42007	0	5	0	26	0	15	0	0	0	43	11	0	0	15	0	3	6
Cox6a1|Cox6a1	14670	9623	13097	9787	14430	13442	9594	15395	10595	15021	12911	19344	14591	12284	12614	16838	15668
Pxn|Pxn	2449	2278	3552	3097	1669	2386	1877	3051	857	1936	1322	3470	2800	3952	2145	3827	2857
Gm13840|Gm13840	63	45	105	41	86	39	13	23	51	35	98	45	37	28	0	46	111
Mir7030|Mir7030	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3
Rab35|Rab35	1237	1023	1311	579	1311	1387	930	1825	904	1135	1120	1409	1563	1206	1326	986	1259
Gcn1l1|Gcn1l1	742	622	1126	763	519	508	525	702	583	744	493	777	858	1130	339	576	949
Mir7029|Mir7029	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
Ccdc64|Ccdc64	265	207	210	204	0	263	58	191	61	0	175	233	233	151	237	308	217
Cit|Cit	114	68	136	114	173	164	245	130	223	67	110	150	148	88	213	206	120
Gm42008|Gm42008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm36185|Gm36185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc60|Ccdc60	25	0	16	28	0	0	29	15	0	14	124	0	19	40	0	0	0
Gm36552|Gm36552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm36502|Gm36502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C330018A13Rik|C330018A13Rik	123	73	45	47	80	46	58	104	100	67	82	220	72	146	51	87	169
Gm36841|Gm36841	0	3	8	13	0	0	0	20	0	0	0	0	0	0	0	0	0
Hspb8|Hspb8	275	131	236	182	434	358	139	302	702	449	873	440	158	165	0	544	617
Suds3|Suds3	409	295	374	242	913	324	259	415	383	222	369	453	331	301	509	494	544
Prkab1|Prkab1	13631	9832	12694	9259	13941	9629	7867	12599	7953	13245	12002	12152	7826	9950	10705	13439	13869
Rplp0|Rplp0	67254	43144	57820	38140	64900	51285	36268	65483	41872	64953	43362	81873	53183	59017	45593	67498	61660
Taok3|Taok3	3943	2499	2850	2238	3563	3953	2565	5750	3311	5500	3155	3698	2563	3010	4795	4169	3708
Vsig10|Vsig10	95	166	259	151	202	390	137	82	310	64	403	179	66	182	0	303	307
Pebp1|Pebp1	4954	3593	5098	3254	4866	3740	3242	5003	4301	4948	3739	6300	4048	5233	4350	6372	5201
LOC102632031|LOC102632031	0	0	4	13	0	20	0	0	0	86	0	20	0	0	0	0	0
Wsb2|Wsb2	598	186	574	392	832	435	365	981	444	514	228	517	352	702	776	831	793
Rfc5|Rfc5	1217	779	1149	491	1577	1094	901	1037	622	894	709	1532	917	1298	1270	933	1346
Tesc|Tesc	52	29	62	29	60	77	40	0	80	62	66	0	40	16	0	54	32
Fbxo21|Fbxo21	860	482	843	469	697	568	738	590	72	1493	813	641	596	797	987	1490	592
Hrk|Hrk	0	0	44	8	5	0	38	10	23	0	189	0	0	0	0	0	0
Gm30466|Gm30466	32	27	69	98	25	0	82	0	45	0	0	109	54	88	160	33	0
Fbxw8|Fbxw8	602	353	665	271	991	343	443	528	208	416	475	535	458	474	499	718	536
Gm30604|Gm30604	24	19	25	23	0	9	27	22	5	0	30	0	0	0	0	0	0
Rnft2|Rnft2	0	0	18	20	59	0	55	0	0	0	0	0	12	13	0	0	47
